(11,0)	(11,1,6.45);(11,2,12.75);(11,3,19.52);(11,4,24.86);(11,5,31.67);(11,6,37.62);(12,0,19.24);(12,1,13.28);(12,2,7.64);(12,3,4.4);(13,0,21.71);(13,1,16.92);(13,2,13.41);(13,3,11.83);(14,0,26.21);(14,1,22.63);(14,2,20.24);(14,3,19.6);
(11,1)	(11,0,6.45);(11,2,6.31);(11,3,13.11);(11,4,18.44);(11,5,25.24);(11,6,31.18);(12,0,25.46);(12,1,19.35);(12,2,13.32);(12,3,7.86);(13,0,27.1);(13,1,21.69);
(11,2)	(11,0,12.75);(11,1,6.31);(11,3,6.83);(11,4,12.14);(11,5,18.94);(11,6,24.88);(12,0,31.71);(12,1,25.56);(12,2,19.45);(12,4,4.8);(13,4,10.31);(14,5,19.96);
(11,3)	(11,0,19.52);(11,1,13.11);(11,2,6.83);(11,4,5.37);(11,5,12.16);(11,6,18.12);(12,0,38.53);(12,1,32.38);(12,2,26.24);
(11,4)	(11,0,24.86);(11,1,18.44);(11,2,12.14);(11,3,5.37);(11,5,6.81);(11,6,12.76);(12,0,43.8);(12,1,37.63);(12,5,4.75);(13,5,10.42);(14,7,19.4);
(11,5)	(11,0,31.67);(11,1,25.24);(11,2,18.94);(11,3,12.16);(11,4,6.81);(11,6,5.97);(11,7,26.9);(12,0,50.58);(12,1,44.4);(12,7,12.56);(12,8,18.29);(12,9,24.48);
(11,6)	(11,0,37.62);(11,1,31.18);(11,2,24.88);(11,3,18.12);(11,4,12.76);(11,5,5.97);(11,7,20.98);(12,0,56.46);(12,6,4.81);(12,7,7.42);(12,8,12.43);(12,9,19.09);(13,6,9.8);(13,7,11.53);(13,8,15.95);(14,9,19.58);(14,10,21.08);(14,11,21.14);(14,12,30.3);(14,13,38.52);
(11,7)	(11,5,26.9);(11,6,20.98);(12,6,20.38);(12,7,15.17);(12,8,8.64);(12,9,7.16);(13,6,20.11);(13,7,15.59);(13,8,12);(14,8,30.13);(14,9,26.13);(14,10,22.81);(14,11,16);
(12,0)	(11,0,19.24);(11,1,25.46);(11,2,31.71);(11,3,38.53);(11,4,43.8);(11,5,50.58);(11,6,56.46);(12,1,6.21);(12,2,12.44);(12,3,18.38);(13,0,7.57);(13,1,10.09);(13,2,15.11);(13,3,19.99);(14,0,15.42);(14,1,16.92);(14,2,20.16);(14,3,24.61);
(12,1)	(11,0,13.28);(11,1,19.35);(11,2,25.56);(11,3,32.38);(11,4,37.63);(11,5,44.4);(12,0,6.21);(12,2,6.28);(12,3,12.2);(13,0,9.4);(13,1,7.55);(13,2,10.31);(13,3,14.43);(14,0,16.06);(14,1,15.27);(14,2,16.73);(14,3,20.12);
