Wall time,Step,Value
1651637695.8417819,200,9.0
1651637697.6323848,400,7.7727274894714355
1651637699.3699641,600,8.133333206176758
1651637701.1834502,800,10.202531814575195
1651637707.1696057,1000,10.777777671813965
1651637715.1787395,1200,10.579999923706055
1651637721.4436483,1400,11.229999542236328
1651637723.6003416,1600,12.380000114440918
1651637725.1498532,1800,13.140000343322754
1651637726.7187424,2000,12.710000038146973
1651637728.3348165,2200,13.149999618530273
1651637729.8626726,2400,15.229999542236328
1651637731.420294,2600,14.989999771118164
1651637733.2229364,2800,14.430000305175781
1651637735.448586,3000,15.430000305175781
1651637741.3666663,3200,15.899999618530273
1651637748.1693633,3400,18.559999465942383
1651637755.1319096,3600,19.6299991607666
1651637758.7798316,3800,21.790000915527344
1651637760.7791758,4000,24.520000457763672
1651637762.4335742,4200,24.309999465942383
1651637764.0809307,4400,25.229999542236328
1651637766.2151098,4600,25.549999237060547
1651637767.9758422,4800,26.280000686645508
1651637769.776867,5000,27.489999771118164
1651637773.641997,5200,29.15999984741211
1651637780.4835181,5400,32.459999084472656
1651637789.1004748,5600,32.61000061035156
1651637792.5457408,5800,37.02000045776367
1651637794.2211957,6000,38.529998779296875
1651637795.715729,6200,38.70000076293945
1651637797.1301212,6400,40.029998779296875
1651637798.6992795,6600,43.150001525878906
1651637800.2187304,6800,43.959999084472656
1651637801.8489413,7000,44.09000015258789
1651637803.3991382,7200,45.869998931884766
1651637805.471612,7400,48.65999984741211
1651637812.2407389,7600,45.20000076293945
1651637819.170884,7800,44.31999969482422
1651637822.2465503,8000,43.040000915527344
1651637825.0299265,8200,43.939998626708984
1651637826.8993793,8400,42.63999938964844
1651637828.5205371,8600,45.15999984741211
1651637830.222877,8800,46.18000030517578
1651637831.773242,9000,47.880001068115234
1651637833.6215951,9200,48.7400016784668
1651637837.0120242,9400,49.400001525878906
1651637841.347921,9600,54.16999816894531
1651637849.1131825,9800,55.150001525878906
1651637852.7768917,10000,56.959999084472656
1651637855.5555522,10200,57.900001525878906
1651637857.506189,10400,60.66999816894531
1651637859.3366168,10600,59.849998474121094
1651637861.3215563,10800,60.09000015258789
1651637862.6315067,11000,57.33000183105469
1651637864.2334988,11200,58.279998779296875
1651637867.68153,11400,60.790000915527344
1651637874.8643517,11600,59.56999969482422
1651637881.9875605,11800,58.560001373291016
1651637887.246967,12000,59.20000076293945
1651637889.7992694,12200,61.689998626708984
1651637891.28608,12400,61.63999938964844
1651637892.8918266,12600,61.459999084472656
1651637894.512387,12800,64.7699966430664
1651637895.9231672,13000,64.98999786376953
1651637897.7044685,13200,68.22000122070312
1651637899.100967,13400,67.0999984741211
1651637901.996718,13600,69.04000091552734
1651637910.1412504,13800,68.9000015258789
1651637917.6009223,14000,71.95999908447266
1651637920.901852,14200,73.62999725341797
1651637922.4890175,14400,73.2300033569336
1651637923.939719,14600,73.80000305175781
1651637925.5187705,14800,75.55000305175781
1651637927.066841,15000,75.7300033569336
1651637928.735094,15200,73.81999969482422
1651637930.458179,15400,74.77999877929688
1651637934.1415505,15600,75.94999694824219
1651637942.8124542,15800,75.16000366210938
1651637948.86019,16000,76.80000305175781
1651637952.0702164,16200,79.79000091552734
1651637953.836166,16400,77.80999755859375
1651637955.3229644,16600,79.45999908447266
1651637956.7329843,16800,80.94999694824219
1651637958.3668535,17000,85.20999908447266
1651637959.878334,17200,88.43000030517578
1651637961.9221888,17400,86.97000122070312
1651637965.0085125,17600,87.58000183105469
1651637972.0373318,17800,91.38999938964844
1651637977.3311265,18000,95.19000244140625
1651637980.51613,18200,94.0
1651637982.29449,18400,94.9000015258789
1651637983.7799885,18600,95.75
1651637985.415471,18800,97.1500015258789
1651637986.8516762,19000,98.75
1651637988.37643,19200,100.20999908447266
1651637990.3325405,19400,99.94999694824219
1651637994.0642345,19600,100.5999984741211
1651638001.5257015,19800,101.94999694824219
1651638007.9400806,20000,100.5
1651638011.11394,20200,100.36000061035156
1651638013.7016773,20400,102.44999694824219
1651638015.3359458,20600,104.91999816894531
1651638017.0942936,20800,105.69999694824219
1651638018.6026855,21000,108.55000305175781
1651638020.1584158,21200,110.72000122070312
1651638022.0201771,21400,114.30999755859375
1651638025.5760872,21600,116.58000183105469
1651638035.3001904,21800,119.23999786376953
1651638040.7421691,22000,119.41999816894531
1651638045.2213516,22200,118.41999816894531
1651638047.216161,22400,120.48999786376953
1651638049.05509,22600,122.37999725341797
1651638050.7997832,22800,121.47000122070312
1651638052.2861161,23000,122.6500015258789
1651638054.0443888,23200,121.20999908447266
1651638057.2393599,23400,117.19999694824219
1651638062.5585146,23600,118.80999755859375
1651638068.866442,23800,118.7699966430664
1651638071.1600254,24000,119.69000244140625
1651638073.4395452,24200,119.0199966430664
1651638074.6255167,24400,118.75
1651638075.928205,24600,121.58999633789062
1651638077.368364,24800,122.55999755859375
1651638078.8688772,25000,123.76000213623047
1651638080.2493315,25200,126.33000183105469
1651638082.8236248,25400,124.62999725341797
1651638086.7994428,25600,126.8499984741211
1651638094.1146748,25800,128.25
1651638097.2635903,26000,127.94999694824219
1651638099.6575618,26200,125.77999877929688
1651638101.297175,26400,125.68000030517578
1651638103.17702,26600,124.26000213623047
1651638104.9387398,26800,120.7300033569336
1651638106.8738062,27000,121.58999633789062
1651638110.13958,27200,123.45999908447266
1651638113.2740052,27400,124.25
1651638121.6048477,27600,126.30999755859375
1651638125.265536,27800,126.3499984741211
1651638127.8200445,28000,128.6300048828125
1651638129.3899717,28200,128.44000244140625
1651638131.2632427,28400,130.75999450683594
1651638132.9348629,28600,134.63999938964844
1651638134.8814483,28800,136.25999450683594
1651638137.4291453,29000,135.33999633789062
1651638141.1830182,29200,136.4499969482422
1651638149.0219696,29400,131.27999877929688
1651638152.4523876,29600,128.80999755859375
1651638156.629631,29800,128.86000061035156
1651638158.7028627,30000,129.77000427246094
1651638160.4313378,30200,129.11000061035156
1651638162.2457774,30400,130.0
1651638164.2175317,30600,130.27000427246094
1651638167.256711,30800,129.5
1651638170.4972465,31000,129.72000122070312
1651638177.827401,31200,132.63999938964844
1651638182.546758,31400,136.33999633789062
1651638186.562102,31600,137.8699951171875
1651638188.259069,31800,137.39999389648438
1651638190.3790388,32000,138.57000732421875
1651638192.0456204,32200,138.1699981689453
1651638193.8971074,32400,138.41000366210938
1651638197.298278,32600,138.17999267578125
1651638201.3616302,32800,139.83999633789062
1651638208.2815485,33000,139.7100067138672
1651638211.8357008,33200,138.9199981689453
1651638215.3940198,33400,137.25
1651638216.9603453,33600,138.5500030517578
1651638218.8306432,33800,137.13999938964844
1651638221.0877616,34000,137.0800018310547
1651638224.1112468,34200,135.44000244140625
1651638227.5709047,34400,136.10000610351562
1651638233.9177902,34600,135.7100067138672
1651638237.85588,34800,135.3300018310547
1651638241.4392028,35000,135.9199981689453
1651638244.3863432,35200,137.4199981689453
1651638246.329626,35400,136.50999450683594
1651638248.1720982,35600,135.67999267578125
1651638250.08291,35800,136.83999633789062
1651638252.6355412,36000,138.61000061035156
1651638255.8931262,36200,138.6199951171875
1651638260.689893,36400,138.19000244140625
1651638266.1191678,36600,137.72999572753906
1651638268.219917,36800,137.8800048828125
1651638270.2146354,37000,138.52000427246094
1651638271.377816,37200,137.91000366210938
1651638272.6241913,37400,137.3000030517578
1651638273.9183247,37600,138.0399932861328
1651638276.0633638,37800,136.39999389648438
1651638280.6739388,38000,135.24000549316406
1651638286.418244,38200,135.25999450683594
1651638292.7784693,38400,136.1999969482422
1651638295.8473408,38600,136.99000549316406
1651638297.8051648,38800,136.41000366210938
1651638299.2841897,39000,135.6999969482422
1651638301.2481291,39200,136.38999938964844
1651638303.1944456,39400,136.38999938964844
1651638305.409401,39600,137.75999450683594
1651638309.4235551,39800,140.35000610351562
1651638314.4480672,40000,136.3800048828125
