Wall time,Step,Value
1649491497.8130105,200,4.800000190734863
1649491514.8124313,400,3.049999952316284
1649491530.8808467,600,7.733333110809326
1649491545.1974282,800,8.949999809265137
1649491563.442549,1000,7.699999809265137
1649491581.0102167,1200,8.449999809265137
1649491597.2724197,1400,8.614285469055176
1649491616.7309475,1600,8.850000381469727
1649491632.0428004,1800,10.255555152893066
1649491650.2944613,2000,10.3100004196167
1649491670.8944132,2200,11.619999885559082
1649491694.0180683,2400,13.0
1649491709.5394106,2600,13.0
1649491732.1468177,2800,12.520000457763672
1649491753.1320848,3000,13.949999809265137
1649491768.5556395,3200,14.670000076293945
1649491790.0292814,3400,15.859999656677246
1649491810.8745368,3600,17.540000915527344
1649491827.6696765,3800,17.3799991607666
1649491845.8120308,4000,18.190000534057617
1649491871.592925,4200,18.309999465942383
1649491892.4355047,4400,18.950000762939453
1649491909.463557,4600,18.690000534057617
1649491930.6941724,4800,19.93000030517578
1649491950.3996923,5000,20.75
1649491966.075082,5200,20.459999084472656
1649491986.45465,5400,20.610000610351562
1649492007.2657044,5600,20.510000228881836
1649492022.9400325,5800,21.469999313354492
1649492043.2321153,6000,22.110000610351562
1649492065.2068956,6200,22.65999984741211
1649492084.008525,6400,22.93000030517578
1649492099.481058,6600,24.06999969482422
1649492120.1735609,6800,24.389999389648438
1649492141.7799835,7000,24.690000534057617
1649492160.3130276,7200,26.309999465942383
1649492175.7777004,7400,26.81999969482422
1649492194.2880337,7600,26.06999969482422
1649492210.7947414,7800,26.670000076293945
1649492224.9844718,8000,26.850000381469727
1649492242.417487,8200,28.190000534057617
1649492262.3677251,8400,29.049999237060547
1649492281.6446528,8600,29.219999313354492
1649492297.2245493,8800,30.450000762939453
1649492317.3263302,9000,31.100000381469727
1649492338.0215945,9200,30.93000030517578
1649492354.5931299,9400,32.0
1649492373.788136,9600,33.86000061035156
1649492392.6563952,9800,34.54999923706055
1649492410.6465676,10000,35.709999084472656
1649492425.5954814,10200,36.349998474121094
1649492443.9869108,10400,36.9900016784668
1649492464.9728343,10600,38.689998626708984
1649492485.8424196,10800,38.880001068115234
1649492501.350735,11000,39.33000183105469
1649492520.1558664,11200,40.91999816894531
1649492536.0578794,11400,41.470001220703125
1649492551.9532669,11600,41.869998931884766
1649492568.3477821,11800,41.97999954223633
1649492582.4871702,12000,42.4900016784668
1649492596.5074954,12200,42.77000045776367
1649492609.4622595,12400,43.38999938964844
1649492622.994185,12600,43.56999969482422
1649492637.2852702,12800,44.16999816894531
1649492652.9356132,13000,44.88999938964844
1649492668.3132372,13200,45.09000015258789
1649492684.0253272,13400,45.400001525878906
1649492698.3350344,13600,45.40999984741211
1649492711.1809824,13800,46.22999954223633
1649492724.088216,14000,47.369998931884766
1649492737.9928346,14200,47.43000030517578
1649492753.7239242,14400,48.15999984741211
1649492768.0629652,14600,49.560001373291016
1649492782.0757325,14800,50.16999816894531
1649492796.3971639,15000,51.61000061035156
1649492809.7450573,15200,52.130001068115234
1649492823.7825327,15400,53.15999984741211
1649492839.574783,15600,55.11000061035156
1649492856.349782,15800,56.13999938964844
1649492871.543984,16000,56.77000045776367
1649492889.599618,16200,57.90999984741211
1649492910.1918008,16400,58.66999816894531
1649492931.9538097,16600,58.54999923706055
1649492948.9733238,16800,59.34000015258789
1649492966.798549,17000,58.959999084472656
1649492986.9438844,17200,59.650001525878906
1649493007.594556,17400,59.72999954223633
1649493024.3048658,17600,59.779998779296875
1649493043.5810237,17800,59.66999816894531
1649493064.876892,18000,59.4900016784668
1649493081.7115252,18200,59.47999954223633
1649493100.1947763,18400,59.400001525878906
1649493123.7973344,18600,59.380001068115234
1649493141.8862286,18800,59.529998779296875
1649493158.6468475,19000,59.36000061035156
1649493176.9992678,19200,58.939998626708984
1649493193.1135874,19400,59.290000915527344
1649493209.1561103,19600,59.150001525878906
1649493224.3344061,19800,59.040000915527344
1649493240.791932,20000,59.27000045776367
1649493258.9249198,20200,59.560001373291016
1649493273.7349393,20400,59.689998626708984
1649493286.9624856,20600,59.709999084472656
1649493300.1388743,20800,59.880001068115234
1649493314.5368896,21000,60.560001373291016
1649493328.5668044,21200,60.31999969482422
1649493343.7302768,21400,60.20000076293945
1649493358.845561,21600,60.34000015258789
1649493372.8975148,21800,60.209999084472656
1649493385.3941965,22000,60.290000915527344
1649493398.0265658,22200,59.959999084472656
1649493411.2902417,22400,60.02000045776367
1649493425.4519212,22600,60.36000061035156
1649493440.0648658,22800,59.779998779296875
1649493454.3182006,23000,59.88999938964844
1649493467.6508267,23200,60.52000045776367
1649493480.5062406,23400,60.279998779296875
1649493492.825522,23600,60.209999084472656
1649493505.058263,23800,60.2400016784668
1649493518.6506884,24000,59.84000015258789
1649493533.4746528,24200,60.290000915527344
1649493548.1134658,24400,60.33000183105469
1649493561.998747,24600,60.33000183105469
1649493574.6517231,24800,61.27000045776367
1649493587.845436,25000,61.5099983215332
1649493600.2193701,25200,62.119998931884766
1649493613.4698048,25400,62.220001220703125
1649493626.3363047,25600,62.939998626708984
1649493639.5095947,25800,63.439998626708984
1649493652.9860942,26000,64.30000305175781
1649493666.5966833,26200,64.45999908447266
1649493679.8321123,26400,64.87999725341797
1649493693.1383624,26600,64.81999969482422
1649493706.3781166,26800,64.91999816894531
1649493719.3999834,27000,64.80000305175781
1649493732.5080578,27200,64.5
1649493745.7760081,27400,64.95999908447266
1649493758.861189,27600,64.23999786376953
1649493772.1189623,27800,64.54000091552734
1649493785.6033528,28000,64.29000091552734
1649493800.0262403,28200,64.16999816894531
1649493814.047145,28400,63.84000015258789
